date,cpi,roccpi,roccpi_bps,gdp,rocgdp,rocgdp_bps,10y2yr,roc10_2,10y2y_bps,10y,roc10y,10y_bps,vehicle_sales,roc_vs,vs_bps,wti,rocwti,rocwti_bps,dxy,rocdxy,rocdxy_bps,conjob_claims,rocjobclaims,rocjob_bps,Indust Prod Index,rocIndust_Prod,rocIndPro_bps,m2vel,roc_m2vel,rocm2vel_bps,vix
1/1/1957,28.7,,,2992.219,,,,,,,,,,,,,,,,,,,,,22.76535,,,,,,
4/1/1957,28.9,,,2985.663,,,,,,,,,,,,,,,,,,,,,22.47733333,,,,,,
7/1/1957,29.1,,,3014.919,,,,,,,,,,,,,,,,,,,,,22.5604,,,,,,
10/1/1957,29.3,,,2983.727,,,,,,,,,,,,,,,,,,,,,21.6096,,,,,,
1/1/1958,29.5,2.787456446,,2906.274,-2.872283078,,,,,,,,,,,,,,,,,,,,20.39113333,-10.42908045,,,,,
4/1/1958,29.6,2.422145329,-36.53111173,2925.379,-2.019116022,85.31670561,,,,,,,,,,,,,,,,,,,20.0496,-10.80080674,-37.17262867,,,,
7/1/1958,29.7,2.06185567,-36.02896586,2993.068,-0.724762423,129.4353599,,,,,,,,,,,,,,,,,,,21.11113333,-6.423940474,437.6866265,,,,
10/1/1958,29.9,2.04778157,-1.407410014,3063.085,2.659693732,338.4456155,,,,,,,,,,,,,,,,,,,22.06193333,2.093205489,851.7145963,,,,
1/1/1959,30,1.694915254,-35.28663157,3121.936,7.420566677,476.0872945,,,,,,,,,,,,,,,,,,,23.03116667,12.94696715,1085.376166,1.773,,,
4/1/1959,30.2,2.027027027,33.21117728,3192.38,9.127056699,170.6490022,,,,,,,,,,,,,,,,,,,24.14813333,20.44197058,749.5003434,1.789,,,
7/1/1959,30.3,2.02020202,-0.682500682,3194.653,6.735062484,-239.1994215,,,,,,,,,,,,,,,,,,,23.1604,9.707042414,-1073.492817,1.773,,,
10/1/1959,30.5,2.006688963,-1.351305699,3203.759,4.592559462,-214.2503022,,,,,,,,,,,,,,,,,,,23.2712,5.481236156,-422.5806257,1.779,,,
1/1/1960,30.6,2,-0.668896321,3275.757,4.927102926,33.45434638,,,,,,,,,,,,,,,,,,,24.6743,7.134390355,165.3154199,1.817,2.481669487,,
4/1/1960,30.7,1.655629139,-34.43708609,3258.088,2.05827627,-286.8826656,,,,,,,,,,,,,,,,,,,24.1389,-0.03823622,-717.2626575,1.797,0.447177194,-203.4492293,
7/1/1960,30.6,0.99009901,-66.55301292,3274.029,2.484651698,42.63754273,,,,,,,,,,,,,,,,,,,23.74196667,2.511038957,254.9275177,1.78,0.394811055,-5.236613925,
10/1/1960,30.7,0.655737705,-33.4361305,3232.009,0.881776688,-160.287501,,,,,,,,,,,,,,,,,,,23.16966667,-0.436304674,-294.7343631,1.737,-2.360876897,-275.5687952,
1/1/1961,30.9,0.980392157,32.46544519,3253.826,-0.669494105,-155.1270793,,,,,,,,,,,,,,,,,,,22.8189,-7.519564891,-708.3260217,1.723,-5.173362686,-281.2485789,
4/1/1961,31,0.977198697,-0.319345979,3309.059,1.564445159,223.3939264,,,,,,,,,,,,,,,,,,,23.72346667,-1.721011866,579.8553025,1.724,-4.062326099,111.1036587,
7/1/1961,31.1,1.633986928,65.6788231,3372.581,3.010113838,144.5668679,,,,,,,,,,,,,,,,,,,24.48043333,3.110385408,483.1397274,1.733,-2.640449438,142.1876661,
10/1/1961,31.2,1.628664495,-0.532243299,3438.721,6.395774269,338.5660431,,,,,,,,,,,,,,,,,,,25.3389,9.362384727,625.199932,1.742,0.287852619,292.8302058,
1/1/1962,31.3,1.294498382,-33.41661132,3500.054,7.567337651,117.1563382,,,,3.86,,,,,,,,,,,,,,,25.7174,12.70218985,333.9805124,1.746,1.334881021,104.7028402,
4/1/1962,31.4,1.290322581,-0.417580123,3531.683,6.727713226,-83.96244251,,,,4,,,,,,,,,,,,,,,25.9666,9.455335364,-324.6854487,1.728,0.232018561,-110.286246,
7/1/1962,31.5,1.286173633,-0.41489472,3575.07,6.003977369,-72.37358568,,,,3.94,,,,,,,,,,,,,,,26.24353333,7.202078395,-225.325697,1.726,-0.403923832,-63.5942393,
10/1/1962,31.6,1.282051282,-0.412235139,3586.827,4.307008332,-169.6969037,,,,3.85,,,,,,,,,,,,,,,26.46506667,4.444418134,-275.766026,1.701,-2.353616533,-194.9692701,
1/1/1963,31.7,1.277955272,-0.409601049,3625.981,3.597858776,-70.91495566,,,,3.95,2.331606218,,,,,,,,,,,,,,26.9543,4.809584173,36.51660381,1.69,-3.207331042,-85.37145097,
4/1/1963,31.8,1.27388535,-0.406992125,3666.669,3.82214372,22.42849443,,,,4,0,-233.1606218,,,,,,,,,,,,,27.66513333,6.541223469,173.1639297,1.675,-3.06712963,14.02014128,
7/1/1963,31.9,1.26984127,-0.404408048,3747.278,4.816912676,99.47689557,,,,4.07,3.299492386,329.9492386,,,,,,,,,,,,,27.84973333,6.12036489,-42.08585792,1.68,-2.665121669,40.2007961,
10/1/1963,32.1,1.582278481,31.24372112,3771.845,5.158263836,34.13511601,,,,4.14,7.532467532,423.2975147,,,,,,,,,,,,,28.32046667,7.01075128,89.03863898,1.672,-1.704879483,96.02421859,
1/1/1964,32.2,1.577287066,-0.499141477,3851.366,6.215835108,105.7571272,,,,4.23,7.088607595,-44.38599375,,,,,,,,,,,,,28.7082,6.506939524,-50.38117561,1.685,-0.295857988,140.9021494,
4/1/1964,32.3,1.572327044,-0.496002222,3893.296,6.18073243,-3.510267735,,,,4.15,3.75,-333.8607595,,,,,,,,,,,,,29.38206667,6.206127087,-30.0812437,1.679,0.23880597,53.46639583,
7/1/1964,32.3,1.253918495,-31.84085487,3954.121,5.519819987,-66.09124438,,,,4.18,2.702702703,-104.7297297,,,,,,,,,,,,,29.85283333,7.192528474,98.64013877,1.674,-0.357142857,-59.59488273,
10/1/1964,32.5,1.246105919,-0.781257629,3966.335,5.15636247,-36.34575168,,,,4.21,1.690821256,-101.1881447,,,,,,,,,,,,,30.30516667,7.008005989,-18.45224856,1.653,-1.136363636,-77.92207792,
1/1/1965,32.6,1.242236025,-0.386989416,4062.311,5.477147589,32.07851188,,,,4.2,-0.709219858,-240.0041114,,,,,,,,,,,,,31.4498,9.549884702,254.1878713,1.668,-1.008902077,12.74615592,
4/1/1965,32.7,1.238390093,-0.384593197,4113.629,5.659292281,18.21446922,,,,4.2,1.204819277,191.4039135,,,,,,,,,,,,,32.17903333,9.51929862,-3.058608214,1.669,-0.595592615,41.33094625,
7/1/1965,32.8,1.547987616,30.95975232,4205.086,6.346922616,68.76303348,,,,4.35,4.066985646,286.2166369,,,,,,,,,,,,,32.85286667,10.04940905,53.01104257,1.68,0.358422939,95.40155537,
10/1/1965,33,1.538461538,-0.952607764,4301.973,8.462169736,211.524712,,,,4.65,10.45130641,638.4320767,,,,,,,,,,,,,33.51753333,10.6000627,55.06536501,1.693,2.41984271,206.1419771,
1/1/1966,33.1,1.533742331,-0.471920717,4406.693,8.477489784,1.532004748,,,,4.71,12.14285714,169.155073,,,,,,,,,,,,,34.47753333,9.627194238,-97.2868458,1.713,2.697841727,27.79990164,
4/1/1966,33.5,2.44648318,91.27408491,4421.747,7.490174734,-98.73150497,,,,4.97,18.33333333,619.047619,,,,,,,,,,,,,35.19753333,9.380331499,-24.68627381,1.712,2.57639305,-12.14486769,
7/1/1966,33.8,3.048780488,60.22973074,4459.195,6.042896626,-144.7278108,,,,5.02,15.40229885,-293.1034483,,,,,,,,,,,,,35.74213333,8.794564858,-58.57666416,1.733,3.154761905,57.8368855,
10/1/1966,34.1,3.333333333,28.45528455,4495.777,4.505002705,-153.7893921,,,,4.64,-0.215053763,-1561.735261,,,,,,,,,,,,,36.08366667,7.656092433,-113.8472425,1.744,3.012404017,-14.23578882,
1/1/1967,34.3,3.625377644,29.20443102,4535.591,2.925050599,-157.9952105,,,,4.5,-4.458598726,-424.3544963,,,,,,,,,,1268000,,,35.88486667,4.081885208,-357.4207225,1.739,1.51780502,-149.4598996,
4/1/1967,34.6,3.28358209,-34.1795554,4538.37,2.637486948,-28.75636511,,,,5.22,5.030181087,948.8779813,,,,,,,,,,1220000,,,35.73863333,1.537323638,-254.456157,1.708,-0.23364486,-175.144988,
7/1/1967,35,3.550295858,26.67137684,4581.309,2.738476339,10.09893913,,,,5.31,5.77689243,74.67113438,,,,,,,,,,1157000,,,35.98446667,0.67800467,-85.93189677,1.694,-2.250432776,-201.6787916,
10/1/1967,35.4,3.812316716,26.20208576,4615.853,2.670862011,-6.761432817,,,,5.7,22.84482759,1706.793516,,,,,,,,,,1167000,,,36.94736667,2.393603754,171.5599084,1.69,-3.096330275,-84.58974997,
1/1/1968,35.8,4.373177843,56.0861127,4709.993,3.845187981,117.432597,,,,5.76,28,515.5172414,,,,,,,,,,1119000,-11.75078864,,37.47476667,4.430558471,203.6954717,1.715,-1.380103508,171.6226767,
4/1/1968,36.2,4.624277457,25.10996141,4788.688,5.515592603,167.0404622,,,,5.64,8.045977011,-1995.402299,,,,,,,,,,1038000,-14.91803279,-316.7244143,37.97996667,6.271457871,184.08994,1.733,1.463700234,284.3803742,
7/1/1968,36.7,4.857142857,23.28654005,4825.799,5.336684341,-17.8908262,,,,5.49,3.389830508,-465.6146503,,,,,,,,,,1048000,-9.420916162,549.7116624,38.2747,6.364505425,9.304755404,1.73,2.12514758,66.14473455,
10/1/1968,37.2,5.084745763,22.76029056,4844.779,4.959560021,-37.712432,,,,6.16,8.070175439,468.034493,,,,,,,,,,1116000,-4.370179949,505.0736214,38.8559,5.165546304,-119.8959121,1.722,1.893491124,-23.16564554,
1/1/1969,37.8,5.586592179,50.18464161,4920.605,4.471599002,-48.79610183,,,,6.3,9.375,130.4824561,,,,,,,,,,1041000,-6.970509383,-260.0329435,39.6118,5.702592767,53.70464627,1.737,1.282798834,-61.06922904,
4/1/1969,38.3,5.801104972,21.45127936,4935.564,3.067144905,-140.4454098,,,,6.73,19.32624113,995.1241135,,,,,,,,,,1021000,-1.637764933,533.2744451,39.78466667,4.751715597,-95.08771694,1.749,0.923254472,-35.95443618,
7/1/1969,38.9,5.994550409,19.34454363,4968.164,2.950081427,-11.70634779,,,,7.51,36.79417122,1746.793009,,,,,,,,,,1086000,3.625954198,526.3719131,40.26226667,5.1928994,44.11838026,1.774,2.543352601,162.0098129,
10/1/1969,39.4,5.913978495,-8.05719141,4943.935,2.046656824,-90.34246032,,,,7.88,27.92207792,-887.2093298,,,,,,,,,,1304000,16.84587814,1321.992394,40.00983333,2.969776362,-222.3123038,1.773,2.961672474,41.83198727,
1/1/1970,40.1,6.084656085,17.067759,4936.594,0.324939718,-172.1717106,,,,7.08,12.38095238,-1554.112554,,,,,,,,,,1537000,47.64649376,3080.061562,39.0405,-1.442247007,-441.2023369,1.789,2.993667242,3.19947685,
4/1/1970,40.8,6.527415144,44.27590589,4943.6,0.162818272,-16.21214461,,,,7.68,14.11589896,173.4946579,,,,,,,,,,1866000,82.76199804,3511.550429,38.82576667,-2.410225045,-96.79780376,1.804,3.144654088,15.09868457,
7/1/1970,41.3,6.16966581,-35.77493338,4989.159,0.42259072,25.9772448,,,,7.29,-2.92942743,-1704.532639,,,,,,,,,,2092000,92.6335175,987.1519454,38.68673333,-3.913175943,-150.2950898,1.795,1.183765502,-196.0888586,
10/1/1970,42,6.598984772,42.93189618,4935.693,-0.166709312,-58.93000311,,,,6.5,-17.51269036,-1458.326293,,,,,,,,,,2147000,64.64723926,-2798.627823,37.8504,-5.397256508,-148.4080565,1.752,-1.184433164,-236.8198666,
1/1/1971,42.2,5.236907731,-136.2077041,5069.746,2.697244294,286.3953606,,,,5.53,-21.89265537,-437.9965012,,,,,,,,,,2157000,40.33832141,-2430.891786,38.58016667,-1.179117412,421.8139096,1.77,-1.062045836,12.23873285,
4/1/1971,42.8,4.901960784,-33.49469464,5097.179,3.106622704,40.93784098,,,,6.7,-12.76041667,913.2238701,,,,,,,120.19,,,2172000,16.39871383,-2393.960758,38.9296,0.267434084,144.6551496,1.736,-3.76940133,-270.7355495,
7/1/1971,43,4.11622276,-78.5738024,5139.128,3.005897387,-10.07253174,,,,6,-17.69547325,-493.5056584,,,,,,,118.76,,,2233000,6.739961759,-965.8752067,39.04963333,0.938047668,67.06135846,1.717,-4.3454039,-57.60025693,
10/1/1971,43.3,3.095238095,-102.0984665,5151.245,4.367208414,136.1311028,,,,5.89,-9.384615385,831.0857866,,,,,,,114.65,,,2037000,-5.123428039,-1186.33898,39.9548,5.559782724,462.1735055,1.69,-3.538812785,80.65911143,
1/1/1972,43.6,3.317535545,22.22974498,5245.974,3.476071582,-89.1136832,,,,6.12,10.66907776,2005.369314,,,,,,,109.6,,,1877000,-12.98099212,-785.756408,41.64956667,7.955901348,239.6118625,1.696,-4.18079096,-64.19781751,
4/1/1972,44,2.803738318,-51.37972273,5365.045,5.255181346,177.9109764,,,,6.15,-8.208955224,-1887.803298,,,,,,,108.62,-9.626424827,,1871000,-13.85819521,-87.72030931,42.44373333,9.02689299,107.0991641,1.703,-1.900921659,227.9869301,
7/1/1972,44.3,3.023255814,21.95174962,5415.712,5.381924716,12.67433692,,,,6.54,9,1720.895522,,,,,,,108.76,-8.42034355,120.6081277,1763000,-21.0479176,-718.9722388,42.98423333,10.07589487,104.9001876,1.679,-2.213162493,-31.22408337,
10/1/1972,44.6,3.002309469,-2.094634513,5506.396,6.894469201,151.2544486,,,,6.41,8.82852292,-17.14770798,,,,,,,109.9,-4.143044047,427.7299503,1663000,-18.36033382,268.7583775,44.4884,11.34682191,127.0927043,1.673,-1.00591716,120.7245333,
1/1/1973,45,3.211009174,20.86997055,5642.669,7.561894131,66.74249295,,,,6.73,9.967320261,113.8797341,,,,,,,109.01,-0.538321168,360.4722879,1547000,-17.58124667,77.9087154,45.749,9.842679436,-150.4142473,1.694,-0.117924528,88.79926315,
4/1/1973,45.4,3.181818182,-2.919099249,5704.098,6.319667403,-124.2226728,,,,6.94,12.84552846,287.8208194,,,,,,,101.43,-6.619407107,-608.1085939,1571000,-16.03420631,154.7040363,46.13126667,8.688051318,-115.4628118,1.711,0.469759248,58.76837767,
7/1/1973,46,3.837471783,65.56536015,5674.1,4.771080885,-154.8586518,,,,6.9,5.504587156,-734.0941299,,,,,,,92.91,-14.57337256,-795.3965456,1658000,-5.955757232,1007.844907,46.52906667,8.246822284,-44.12290337,1.711,1.905896367,143.6137118,
10/1/1973,46.7,4.708520179,87.10483961,5727.96,4.0237571,-74.73237847,,,,6.9,7.644305772,213.9718616,,,,,,,95.06,-13.50318471,107.018785,1805000,8.538785328,1449.454256,47.2238,6.148569065,-209.8253219,1.739,3.945008966,203.9112599,
1/1/1974,47.6,5.777777778,106.9257598,5678.713,0.638775728,-338.4981372,,,,7.41,10.10401189,245.9706115,,,,,,,105.9,-2.852949271,1065.023544,2062000,33.29023917,2475.145384,46.80723333,2.313128884,-383.5440181,1.725,1.829988194,-211.5020772,
4/1/1974,49,7.929515419,215.1737641,5692.21,-0.208411567,-84.71872949,,,,7.64,10.08645533,-1.755655566,,,,,,,98.49,-2.898550725,-4.560145393,2074000,32.01782304,-127.241613,46.83483333,1.525140577,-78.79883073,1.748,2.162478083,33.24898894,
7/1/1974,50.7,10.2173913,228.7875886,5638.411,-0.628980808,-42.0569241,,,,7.94,15.07246377,498.6008437,,,,,,,100.54,8.212248412,1111.079914,2306000,39.08323281,706.5409768,46.65023333,0.260410697,-126.472988,1.764,3.097603741,93.51256575,
